experiment,plant,date_time,camera,view_option,hash,date,time
10ac_mpo1_1904,10ac103_c2_mock_xx_103,2019-05-14 11:51:04,msp,sw755,bHPAzDhnX2zz9DNVBgKnvY2iprvg.jpg,2019-05-14,11:51:04
10ac_mpo1_1904,10ac103_c2_mock_xx_103,2019-05-15 06:06:49,msp,sw755,bZkFv6K7saFfGbjPdCft2QeLot9Q.jpg,2019-05-15,06:06:49
10ac_mpo1_1904,10ac103_c2_mock_xx_103,2019-05-16 06:06:51,msp,sw755,b6K9ObTwNl-p48d6kzg6mn9nAQNA.jpg,2019-05-16,06:06:51
10ac_mpo1_1904,10ac103_c2_mock_xx_103,2019-05-17 06:06:50,msp,sw755,b4WMmRGJe2DhXNrF02SnaRRNT0.jpg,2019-05-17,06:06:50
10ac_mpo1_1904,10ac103_c2_mock_xx_103,2019-05-18 06:06:44,msp,sw755,bQkx4XKuGqPBTqNtQD6LkCK9gms.jpg,2019-05-18,06:06:44
10ac_mpo1_1904,10ac104_c2_mock_xx_104,2019-05-04 06:05:59,msp,sw755,bi0PddmqJqNGMUMpneFABmViwsPw.jpg,2019-05-04,06:05:59
10ac_mpo1_1904,10ac104_c2_mock_xx_104,2019-05-05 06:06:40,msp,sw755,bhKk0eKcEZm5Lif1tqT0LN-n0Cw.jpg,2019-05-05,06:06:40
10ac_mpo1_1904,10ac104_c2_mock_xx_104,2019-05-07 06:06:57,msp,sw755,b9Si9hywZC9837sedSMj0H1vmHOI.jpg,2019-05-07,06:06:57
10ac_mpo1_1904,10ac104_c2_mock_xx_104,2019-05-08 12:34:22,msp,sw755,boA8nVUIn2gJq2eOqCbIMYkqg3mI.jpg,2019-05-08,12:34:22
10ac_mpo1_1904,10ac104_c2_mock_xx_104,2019-05-09 06:05:50,msp,sw755,bCGxUK1opAjXrmWF9a-sJcEqaSsk.jpg,2019-05-09,06:05:50
10ac_mpo1_1904,10ac104_c2_mock_xx_104,2019-05-10 06:05:57,msp,sw755,braUoAoCBOiB86bDJ-4NReBCDiMs.jpg,2019-05-10,06:05:57
10ac_mpo1_1904,10ac104_c2_mock_xx_104,2019-05-11 06:06:03,msp,sw755,by4TYitHLP0BUWHNXrpQVqZUEqL0.jpg,2019-05-11,06:06:03
10ac_mpo1_1904,10ac104_c2_mock_xx_104,2019-05-12 06:06:00,msp,sw755,bkK0wc5ochXCvqgP2zcDZBNrHwE.jpg,2019-05-12,06:06:00
10ac_mpo1_1904,10ac104_c2_mock_xx_104,2019-05-14 11:50:13,msp,sw755,bkJ2X4DJHovJhXj1jumKVcyFJA.jpg,2019-05-14,11:50:13
10ac_mpo1_1904,10ac104_c2_mock_xx_104,2019-05-15 06:05:57,msp,sw755,b7D6pju05NsgVhp9-6ynMQTHUUc.jpg,2019-05-15,06:05:57
10ac_mpo1_1904,10ac104_c2_mock_xx_104,2019-05-16 06:05:59,msp,sw755,bZ-vrv80By3qiKk-sDWHNrxQvf0.jpg,2019-05-16,06:05:59
10ac_mpo1_1904,10ac104_c2_mock_xx_104,2019-05-17 06:05:59,msp,sw755,brbtbGI3Wrdt9BsvBYZ2MtdmiiI.jpg,2019-05-17,06:05:59
10ac_mpo1_1904,10ac104_c2_mock_xx_104,2019-05-18 06:05:52,msp,sw755,ba3Rse1ODiaDrm9w1g3wsgsKY6U.jpg,2019-05-18,06:05:52
10ac_mpo1_1904,10ac106_c2_mock_xx_106,2019-05-04 06:04:16,msp,sw755,bgcdDoLujHyFYfAjujoPGublcMQw.jpg,2019-05-04,06:04:16
10ac_mpo1_1904,10ac106_c2_mock_xx_106,2019-05-05 06:04:56,msp,sw755,bTwfdHxcleKaWnZdBDnAjl7QTAk.jpg,2019-05-05,06:04:56
10ac_mpo1_1904,10ac106_c2_mock_xx_106,2019-05-07 06:05:13,msp,sw755,bHHK0f9uQ-cXscN0rM0tyI13VfkI.jpg,2019-05-07,06:05:13
10ac_mpo1_1904,10ac106_c2_mock_xx_106,2019-05-08 12:32:39,msp,sw755,bFDWINjvKLgIj-hhFtxedpLcvcI.jpg,2019-05-08,12:32:39
10ac_mpo1_1904,10ac106_c2_mock_xx_106,2019-05-09 06:04:06,msp,sw755,bftD2TIy7IOmhWR5comp56ODOWhU.jpg,2019-05-09,06:04:06
10ac_mpo1_1904,10ac106_c2_mock_xx_106,2019-05-10 06:04:14,msp,sw755,b9RUwV0Ujp0qjJNtJoYCZUBVGRf0.jpg,2019-05-10,06:04:14
10ac_mpo1_1904,10ac106_c2_mock_xx_106,2019-05-11 06:04:19,msp,sw755,bjTPtAky9QRtlNtA1kSaD9P5M-M.jpg,2019-05-11,06:04:19
10ac_mpo1_1904,10ac106_c2_mock_xx_106,2019-05-12 06:04:16,msp,sw755,bdCfYY2Penn3WhQfXh8ow0urEAfA.jpg,2019-05-12,06:04:16
10ac_mpo1_1904,10ac106_c2_mock_xx_106,2019-05-14 11:48:29,msp,sw755,bseZIOmwwF5bCBAugIw1ke45IGEg.jpg,2019-05-14,11:48:29
10ac_mpo1_1904,10ac106_c2_mock_xx_106,2019-05-15 06:04:13,msp,sw755,blj7Tm7EGQTwVQP30UNQwv-9A56M.jpg,2019-05-15,06:04:13
10ac_mpo1_1904,10ac106_c2_mock_xx_106,2019-05-16 06:04:16,msp,sw755,bGqA6yrxWsdqJL0-j3ZqVL-fEnI.jpg,2019-05-16,06:04:16
10ac_mpo1_1904,10ac106_c2_mock_xx_106,2019-05-17 06:04:15,msp,sw755,bCMNbMqtD7PLRk7SfMandeDHIg.jpg,2019-05-17,06:04:15
10ac_mpo1_1904,10ac106_c2_mock_xx_106,2019-05-18 06:04:09,msp,sw755,bhVSCYj-VBfa5CIlkaFGHF4UzEJQ.jpg,2019-05-18,06:04:09
10ac_mpo1_1904,10ac107_ma_mock_xx_107,2019-05-04 06:03:24,msp,sw755,bXBBFtVu2jN-fEyJOhdNs1rQsoI8.jpg,2019-05-04,06:03:24
10ac_mpo1_1904,10ac107_ma_mock_xx_107,2019-05-05 06:04:05,msp,sw755,bixythM3xxaiieuoYtrj8cFsOugI.jpg,2019-05-05,06:04:05
10ac_mpo1_1904,10ac107_ma_mock_xx_107,2019-05-07 06:04:22,msp,sw755,bbOP2swjnF5JPVk0tzaaZFo3p2U.jpg,2019-05-07,06:04:22
10ac_mpo1_1904,10ac107_ma_mock_xx_107,2019-05-08 12:31:48,msp,sw755,bXfnMsFrghDPkaFm550XRnU-vP4Y.jpg,2019-05-08,12:31:48
10ac_mpo1_1904,10ac107_ma_mock_xx_107,2019-05-09 06:03:15,msp,sw755,bQmp1R3rqicNM41xdcnJ-hDAYxrY.jpg,2019-05-09,06:03:15
10ac_mpo1_1904,10ac107_ma_mock_xx_107,2019-05-10 06:03:21,msp,sw755,b2sUm-fNaUM6g4uCiT5K8kR10b0.jpg,2019-05-10,06:03:21
10ac_mpo1_1904,10ac107_ma_mock_xx_107,2019-05-11 06:03:27,msp,sw755,bk4vE742szp-7WHmJ5pg9bkW4go.jpg,2019-05-11,06:03:27
10ac_mpo1_1904,10ac107_ma_mock_xx_107,2019-05-12 06:03:24,msp,sw755,bbhQ1O70btWDXImWwdr0qblfTROo.jpg,2019-05-12,06:03:24
10ac_mpo1_1904,10ac107_ma_mock_xx_107,2019-05-14 11:47:38,msp,sw755,bDNjE9sTod0BilDcsgiHxigEzNU.jpg,2019-05-14,11:47:38
10ac_mpo1_1904,10ac107_ma_mock_xx_107,2019-05-15 06:03:21,msp,sw755,bR0O6KbkB8qssA5RzNmHC15huieU.jpg,2019-05-15,06:03:21
10ac_mpo1_1904,10ac107_ma_mock_xx_107,2019-05-16 06:03:25,msp,sw755,bYc8EaOcFCRHFKS7FQysp7zYztY.jpg,2019-05-16,06:03:25
10ac_mpo1_1904,10ac107_ma_mock_xx_107,2019-05-17 06:03:23,msp,sw755,betPtizhbF24FOhzDZ4WRyGJvaU.jpg,2019-05-17,06:03:23
10ac_mpo1_1904,10ac107_ma_mock_xx_107,2019-05-18 06:03:18,msp,sw755,bQp96yycGLrjI62I9rLstsGTICQ.jpg,2019-05-18,06:03:18
10ac_mpo1_1904,10ac108_o8_mock_xx_108,2019-05-04 06:02:30,msp,sw755,bXkNG5uVWGis6VThiyvKaA-ZFxs.jpg,2019-05-04,06:02:30
10ac_mpo1_1904,10ac108_o8_mock_xx_108,2019-05-05 06:03:13,msp,sw755,bZrfWs00hHfIyPY5sr3X0vjvydI.jpg,2019-05-05,06:03:13
10ac_mpo1_1904,10ac108_o8_mock_xx_108,2019-05-07 06:03:29,msp,sw755,bEDKVMkS3RocftOdggBl5BEYOA4o.jpg,2019-05-07,06:03:29
10ac_mpo1_1904,10ac108_o8_mock_xx_108,2019-05-08 12:30:55,msp,sw755,bsJyRcGZae6Nrgh-tFXjM87lCvA8.jpg,2019-05-08,12:30:55
10ac_mpo1_1904,10ac108_o8_mock_xx_108,2019-05-09 06:02:22,msp,sw755,btf4PqoYetL3NwMjrfxL-kYiK9Y.jpg,2019-05-09,06:02:22
10ac_mpo1_1904,10ac108_o8_mock_xx_108,2019-05-10 06:02:29,msp,sw755,bkX8VcEpDYkQGOmD5OxAfbtYRkM.jpg,2019-05-10,06:02:29
10ac_mpo1_1904,10ac108_o8_mock_xx_108,2019-05-11 06:02:34,msp,sw755,bkab5pVJWRCHRQaPf1Igt4LbFBAA.jpg,2019-05-11,06:02:34
10ac_mpo1_1904,10ac108_o8_mock_xx_108,2019-05-12 06:02:32,msp,sw755,bzVmrYzkxkrRqu-Zz8cmxEDNMI5M.jpg,2019-05-12,06:02:32
10ac_mpo1_1904,10ac108_o8_mock_xx_108,2019-05-14 11:46:46,msp,sw755,bqRz7ypvKS2OoM9ax4nFohGLQbwk.jpg,2019-05-14,11:46:46
10ac_mpo1_1904,10ac108_o8_mock_xx_108,2019-05-15 06:02:29,msp,sw755,btV-YnhwO88MuMtnM9JNmJ7Zg4ac.jpg,2019-05-15,06:02:29
10ac_mpo1_1904,10ac108_o8_mock_xx_108,2019-05-16 06:02:32,msp,sw755,b38PDZGlaYxLeW0n4H1EaYIhI4tg.jpg,2019-05-16,06:02:32
10ac_mpo1_1904,10ac108_o8_mock_xx_108,2019-05-17 06:02:31,msp,sw755,bjTgqVKXbeXrwOdFA0cGKOLeRKNQ.jpg,2019-05-17,06:02:31
10ac_mpo1_1904,10ac108_o8_mock_xx_108,2019-05-18 06:02:25,msp,sw755,bHecTQklfwO-qEUi4KSgRRYU67u8.jpg,2019-05-18,06:02:25
10ac_mpo1_1904,10ac109_16_mock_xx_109,2019-05-04 06:07:42,msp,sw755,bTZrYaPWeYH3Ty1NPuYGTdMiUETU.jpg,2019-05-04,06:07:42
10ac_mpo1_1904,10ac109_16_mock_xx_109,2019-05-05 06:08:23,msp,sw755,biv9YmZHUn9SSH2bKWCkHuMLOwoo.jpg,2019-05-05,06:08:23
10ac_mpo1_1904,10ac109_16_mock_xx_109,2019-05-07 06:08:42,msp,sw755,b91jdW8YCDXcLDLF3AvZ5NeQESe4.jpg,2019-05-07,06:08:42
10ac_mpo1_1904,10ac109_16_mock_xx_109,2019-05-08 12:36:07,msp,sw755,bvBEwWd0V4HnHSjyyJ4EXRwzjeI.jpg,2019-05-08,12:36:07
10ac_mpo1_1904,10ac109_16_mock_xx_109,2019-05-09 06:07:34,msp,sw755,b01C5A4-Dx3k7DCE-Tu-9XakuuKA.jpg,2019-05-09,06:07:34
10ac_mpo1_1904,10ac109_16_mock_xx_109,2019-05-10 06:07:41,msp,sw755,b00s9swai4uy9RmDXcnkiY1PpZ2M.jpg,2019-05-10,06:07:41
10ac_mpo1_1904,10ac109_16_mock_xx_109,2019-05-11 06:07:46,msp,sw755,bs86--khiww3e2msH-y4bXaCuw0.jpg,2019-05-11,06:07:46
10ac_mpo1_1904,10ac109_16_mock_xx_109,2019-05-12 06:07:45,msp,sw755,bMJYlAPhH-77qN3de2pvv8DaVzlY.jpg,2019-05-12,06:07:45
10ac_mpo1_1904,10ac109_16_mock_xx_109,2019-05-14 11:51:56,msp,sw755,bEWHh-rQMqhgBNKinyaUjaBknzZY.jpg,2019-05-14,11:51:56
10ac_mpo1_1904,10ac109_16_mock_xx_109,2019-05-15 06:07:41,msp,sw755,busPSvrjnQECFgp06kuvpcV1kfk.jpg,2019-05-15,06:07:41
10ac_mpo1_1904,10ac109_16_mock_xx_109,2019-05-16 06:07:43,msp,sw755,bBrGMI7ajTAEeXQCL2kT1U4jxzpM.jpg,2019-05-16,06:07:43
10ac_mpo1_1904,10ac109_16_mock_xx_109,2019-05-17 06:07:42,msp,sw755,bk7HNlhxRPAcJJ8HVyQIDS1c14ns.jpg,2019-05-17,06:07:42
10ac_mpo1_1904,10ac109_16_mock_xx_109,2019-05-18 06:07:36,msp,sw755,bMwQZ4heaTwIzInwXT0GWJltv4V0.jpg,2019-05-18,06:07:36
10ac_mpo1_1904,10ac110_o8_mock_xx_110,2019-05-04 06:08:40,msp,sw755,buwYFogBf4tpweB7lFIlfpTKPruI.jpg,2019-05-04,06:08:40
10ac_mpo1_1904,10ac110_o8_mock_xx_110,2019-05-05 06:09:20,msp,sw755,bprDJfXelYak6oHHUdqrfmao-YD4.jpg,2019-05-05,06:09:20
10ac_mpo1_1904,10ac110_o8_mock_xx_110,2019-05-07 06:09:40,msp,sw755,bqcP1uAdhPSxOevYsiXGLN4D3zPk.jpg,2019-05-07,06:09:40
10ac_mpo1_1904,10ac110_o8_mock_xx_110,2019-05-08 12:37:04,msp,sw755,bWzbBZF7sucPT223t5Tf1N3rfk.jpg,2019-05-08,12:37:04
10ac_mpo1_1904,10ac110_o8_mock_xx_110,2019-05-09 06:08:31,msp,sw755,bbMjHRVVJMCPAJ9TQWhUkANnScSo.jpg,2019-05-09,06:08:31
10ac_mpo1_1904,10ac110_o8_mock_xx_110,2019-05-10 06:08:38,msp,sw755,bkJoDN9qXSwFfJ8zLDyFQBOpXzY.jpg,2019-05-10,06:08:38
